City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,shitanjing,39.2342,106.3439,25.7,34,4,4.06,CN,1690222128
348,al artawiyah,26.5053,45.3444,36.04,8,55,3.22,SA,1690222128
349,gaur,26.7667,85.2667,29.6,72,91,3.65,NP,1690222128
350,flin flon,54.7682,-101.865,24.91,50,40,1.54,CA,1690221903
351,batu pahat,1.8548,102.9325,26.22,87,37,2.05,MY,1690222128
352,lasem,-6.6922,111.4527,24.87,82,48,2.5,ID,1690222128
353,sorong,-0.8833,131.25,25.44,88,86,6.73,ID,1690222032
354,queenstown,-31.8976,26.8753,6.19,46,0,0.83,ZA,1690222130
355,fortuna,40.5982,-124.1573,23.29,71,20,5.14,US,1690221896
356,santa isabel,-23.3156,-46.2214,29.49,27,1,1.67,BR,1690222130
357,sayansk,54.1088,102.1648,12.93,93,17,0.92,RU,1690222130
358,aitape,-3.1374,142.3475,25.61,88,100,1.53,PG,1690222011
359,ha'il,27.5219,41.6907,33.64,10,3,2.32,SA,1690222131
360,saudarkrokur,65.7461,-19.6394,10.16,92,100,0.84,IS,1690221875
361,bilaspur,22.0833,82.15,27.7,76,85,1.8,IN,1690222131
